Name,S02,S03,S04,S05,S06,S07,S10,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S34,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S49,S50,C01,C02,C03,C04,C05,C06,C07,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C36,C38,C39,C40,C41,C42,C45,C46,C48,C49,C50
Malonic acid,671637,586470,590855,744390,600028,515584,614666,561588,701640,525316,645124,519408,686257,527545,479658,644996,515543,468031,655876,498413,624480,636678,490695,507215,582203,527374,589234,494569,672423,682837,603130,572994,434693,513425,562685,554527,735146,592620,280967,371675,354960,348618,437119,572438,1136367,381420,1585126,385027,1466594,466534,475970,492125,647818,459237,505675,385414,360951,333526,585928,580490,467998,287142,527908,527599,439208,1597831,445448,483258,968748,651306,648267,602553,477902,1262909,402208,992105,383022,773960,349994,560488,641693,515261,378111
Adipic acid,549886,444912,513208,314945,434426,374339,452528,368985,245690,175081,512270,281540,309203,756672,305409,238419,299767,166143,334055,354389,338113,380813,215503,306401,309939,254880,281120,213634,313574,1019999,726359,667933,344681,401973,480290,536704,394907,550008,264305,561286,311509,234395,198642,231046,364094,351792,319527,216610,560449,408423,515850,342112,1283650,457193,531702,382371,268986,232288,335693,385973,244914,183624,234339,367065,226813,810319,197326,448742,380821,257747,319833,598354,518367,445852,335979,460984,380570,441541,310563,313439,276279,322602,377060
Dodecanoic acid (C12_0),497414,3401554,1215060,2737412,2287167,2430575,1795930,2574684,2229396,1486608,2572789,1887999,1476420,682256,527233,605996,611404,563969,678935,309837,833231,441288,252987,1174219,841024,296980,645680,598274,466457,837668,1058268,1902454,1092398,589916,1423668,1219071,1148877,998062,359595,742308,584954,350139,273750,648068,318742,502009,283634,272137,1256157,488215,194987,373208,793665,304970,401862,272257,194953,224610,393030,477824,220041,133710,393030,384874,282911,401234,221925,508212,765027,570117,683955,555122,745871,457158,466736,401284,1959087,1836612,669427,506702,2024779,2154902,1984683
Azelaic acid,257809,368237,415410,331099,326110,214474,271750,612564,189409,105890,493154,179241,312381,255553,203531,163500,187759,86230,164212,143418,269827,249654,158324,622591,259240,137334,244931,108571,171689,396248,1405973,1242731,273543,280688,280723,928116,233587,340282,115757,225816,113780,153188,92916,141143,305315,634203,237218,103819,245445,481055,159537,208878,346816,152054,333578,229070,84923,120783,233398,226838,105835,81676,115749,480110,93874,713287,115750,434211,441682,124986,118100,317480,437793,238538,347072,232001,611434,443835,143905,141240,122250,179642,264489
2-Oxobutyric acid,3338472,5321287,5096844,6051012,3364089,5715588,5271446,3704285,3490666,1909822,4707435,4463983,3752385,4960268,3209845,3556954,2870968,1920356,3114825,2456928,4028096,5167067,1632580,4874173,4319182,1873272,3551708,3284667,3127102,4401853,4481670,4720929,5600517,4552708,5057064,6890017,5360361,5434334,1942124,2861169,1979401,1896831,3238947,2341862,5184421,2056155,4877271,2709805,6901986,3596787,1686009,3614656,3977547,3510903,3661261,2308790,1306524,1955148,3786604,3503186,2361437,1203565,2678519,4929089,3788017,10435180,3622384,4609032,4063893,3165334,2764603,4779889,5122363,9089829,2623978,6624847,6701125,7701190,3217200,3532909,7246617,7228759,5882458
2-Methyloctadecanoic acid,1925136,1828113,1729755,1897545,1627593,1808589,1619276,1651808,1816336,1692011,1959139,1813834,1875113,2163681,1948430,2135123,2365694,1694613,2317680,1946478,2188017,2285364,1779730,2078736,2128822,2127233,2363908,2360533,2336243,2554051,2641042,2587860,2632772,2270079,2224430,2492669,2497965,2692278,2184163,2631031,2400380,597955,754365,797271,762987,471271,809273,772725,1574510,962492,571251,1054207,1287721,1801315,2538743,1794841,968683,547585,703593,495522,469031,395902,252208,392109,338712,414078,430618,472859,940840,828960,847859,843477,773115,1006814,895168,1062108,1145418,1399728,1364947,1373017,1372995,1673029,1340549
Methionine,262910,253868,355307,354543,509584,464843,192140,208266,164359,65063,310676,231649,163568,446664,152684,193653,160383,40492,288713,86853,299033,273196,49012,233412,344263,61583,190787,130609,147610,261571,337535,254205,248308,145941,219361,347109,219120,228056,70634,132386,75590,335660,290240,318712,2253724,264070,3465531,299988,3127422,365424,197052,261787,274580,307097,375522,329493,176812,211494,319189,227579,260495,71388,108902,394740,117957,2760149,159998,222220,642997,132776,117902,333549,377440,3406104,152929,2356374,342017,457813,140054,186161,243717,412503,228132
3-Hydroxybenzoic acid,469403,485087,548655,496795,669959,554584,452981,462690,255668,152802,644068,325896,617169,742450,427410,329942,336464,162581,408399,242365,648180,492005,135792,636702,738051,208695,451687,261800,373252,424329,675288,761663,442577,277251,405729,593558,634359,606779,112698,235563,118056,396427,369058,441468,756155,312342,724314,517260,951135,750880,450871,558123,703926,738756,785820,575567,324461,265280,671995,635681,396856,168169,438196,987630,282181,1269014,340135,406394,931687,358680,394040,1011650,400004,966195,357056,821137,761128,971711,237506,318019,405466,428614,482219
DecanoicacidMCFderivative,198677,558211,168250,317812,138115,246190,97348,119255,284733,230896,366320,272645,244251,144155,114700,163981,108856,107156,109100,118604,113222,64850,54267,77201,92923,87468,102345,80688,117342,177029,149788,205239,275229,2093206,350116,340086,303190,266444,160394,245710,213444,63426,66679,87891,57823,51145,38731,52982,117092,91054,122232,79941,186485,85608,92429,76580,85074,56764,99428,100081,57756,32280,65036,48123,55222,51155,57315,89836,114466,109525,129132,126845,179771,95205,150370,127912,304333,347015,200090,191365,468263,472382,361547
Glutaric acid,78920,147050,120953,129593,131077,151034,111986,81461,86274,118999,146327,105496,207161,101217,74718,149185,161761,113110,235793,167149,161363,83769,53162,113739,132526,59379,92418,266546,231185,235012,76941,144544,131055,129074,209689,172893,172129,230364,72496,109316,60160,86919,116629,103763,252217,91133,215807,102850,329015,142746,62418,121916,116867,128693,143261,87956,53114,60766,119976,97566,78526,49737,111577,112475,154981,235350,69531,103708,134461,186218,193866,149490,174211,243882,74858,166228,204848,272603,99279,85042,178776,171455,195878
Lysine,681024,259029,1284447,1003226,2813125,2813341,1245552,758849,199860,37654,731846,1282614,160142,1022005,504574,958733,293844,36601,755210,42138,1009186,1060120,38122,978610,749649,46999,363090,77872,66925,153645,433110,229715,350621,97326,260822,631462,114291,246027,51095,84874,44537,2092395,2851890,2738744,3141626,1753060,3356865,3965692,8722037,4900263,165590,609622,1099034,4064103,3950233,5464288,1493260,1160741,1444602,1019044,954440,356404,117857,1211628,263347,482100,314500,257575,1112666,105987,54364,1680575,1295112,2675727,510653,2079461,842404,1610691,54720,210405,91950,1544434,969731
Margaric acid (C17_0),395760,775407,530860,497783,330253,631721,286744,444365,250992,170571,280123,307198,296044,405793,439959,409501,191019,193942,402157,325569,265000,299458,180639,187248,321927,226288,693029,286502,388539,347451,641082,313275,369102,285353,311278,317380,382589,439263,255429,343609,252584,84744,75102,96460,73825,121826,87678,91557,171382,187670,76259,109049,160856,187974,161480,113319,57592,73903,207555,152818,66881,46645,118839,141163,78943,103878,345714,203016,188746,209078,214100,265146,212748,183123,171054,164404,186787,237393,306168,265799,324412,409621,247770
Citric acid,730561,2160629,2587004,1208095,3076818,539924,282241,12448122,522182,271666,1046046,700818,1474412,3298382,1811588,472686,1398826,736639,2159484,883267,1913016,458869,522061,1005088,1099857,487064,456090,485759,862429,1547778,1836939,1338924,1392168,1107347,96878536,12006443,3959509,821867,362271,750617,331474,374696,829195,1340533,2190518,1707130,1478282,886748,5168096,492465,570560,434980,765780,620659,1757701,1079668,596491,1261969,1247786,233204,830993,167308,762194,635144,331496,3975783,375468,1443712,771750,1328787,450063,2378164,672525,1498269,681767,234909,328399,100850896,663125,347629,669247,472624,312015
Citramalic acid,308823,412070,399345,427910,559834,317923,310586,274722,276103,223238,355464,247793,403057,378032,242436,307454,226223,180619,364741,167152,341831,262438,128894,324512,437942,159194,212536,274452,234501,415093,406586,321186,295505,262550,375124,402237,320603,426334,153318,229092,144371,229917,473561,386278,705401,312354,593525,377303,660903,439110,194615,489708,602322,475932,546923,343135,219761,230859,490306,422738,268085,107221,565416,391893,312382,1199855,175636,385702,440513,344568,349722,535657,379030,836554,224712,557664,439161,486322,206956,243577,424566,460277,297715
NADP_NADPH,157076,34386,43407,38805,39565,45008,31328,57626,133257,663753,521103,259222,1138512,537292,325256,298362,192218,424261,449410,433617,272057,80253,391984,55681,54475,82941,44404,16425,13516,12481,11740,15847,29809,45556,28121,26760,31376,29009,15763,19015,32407,17322,27637,18558,23069,13222,11605,19527,12983,28547,13445,21406,30883,50279,50325,34955,16612,21301,16982,8517,7778,7594,7913,12641,12846,6355,20390,9240,11777,9632,10168,24731,37024,25179,17949,40618,36060,28442,21739,20743,52977,47482,18701
Nicotinamide,2997041,2851778,2754575,2806151,3105557,2675530,2708157,2737573,3088452,2691689,2926928,2674985,2858626,2954202,3009401,2870152,3121012,3174464,2904158,3063646,2992022,3081894,2860071,3213517,2734499,2988331,2944556,3243013,3206441,3185228,3099153,3007790,3203512,3158459,3241319,3024676,3277644,3200818,3206437,3583512,3280880,790999,602120,618207,598839,563250,579901,596501,665378,715307,841282,758792,673002,694672,749697,626369,710049,690451,710377,734081,673572,724267,676284,645165,687283,844218,641247,642651,1869543,1953782,1891664,2144863,2027663,1924412,2085791,1772994,2002701,2591008,2639308,2380400,2242290,2329741,2573469
Pimelic acid,156479,113201,158841,112865,170736,105090,136971,140709,87749,74093,202816,102686,120889,126014,89536,95479,100697,64264,90738,96858,135643,129339,63987,148311,92438,90670,103004,81496,116868,110418,144657,250813,121414,124933,173457,198077,146300,154946,81132,107820,86484,102058,98593,102829,127470,189065,93677,94834,152339,185572,96838,126447,161499,131129,155888,107784,71051,74479,134565,130865,79122,56924,87991,136911,79776,180760,68933,130168,141850,99158,108580,192698,154607,157484,107580,139341,186395,191944,92206,106515,114228,120779,132639
Heptadecane,3006097,3149048,2535947,2416527,3231013,2477012,2441564,2545565,2672170,2402200,2443854,2995690,2941414,2854197,2746133,3068392,2651634,3180413,2778087,2945220,2732094,2830122,2502022,2906230,2518787,2703619,2801493,3059852,2938708,3117849,3096502,2966445,3041274,2933233,2720392,3355444,3000361,2804466,2740849,3057668,2767439,802304,346082,463374,438629,479090,428180,514880,384233,737632,846569,729135,631913,616014,665426,538324,546678,537244,573024,546670,499392,449799,437743,477198,484247,687969,497425,464350,2114816,1963464,1982040,2099323,2030963,2169690,1932240,1981659,2139515,2025647,2411827,2142130,2053777,2256674,2143518
